iteration,matches,theta_deg,tx,ty,target_centroid_x,target_centroid_y,source_centroid_x,source_centroid_y,centroid_distance,rmse_source_to_target,rmse_target_to_source,symmetric_chamfer_rmse,median_distance,p95_distance,max_distance,coverage,match_rmse,profile_score,score_variation,transform_step
23,93846,-9.6357584415,-1070.7767084814,944.0859636375,4860.4952257433,5000.2486525847,5063.2370812243,4492.2160957105,546.9929970374,210.7203421139,184.4463093381,198.0195742964,101.6949817515,417.6300731032,1012.4493337576,0.9508000000,152.9235304041,0.0236716598,0.0183725459,0.0123539316
24,93936,-10.2903915554,-1124.8582737883,1003.8938265130,4860.4952257433,5000.2486525847,5049.2934369547,4481.7097013334,551.8400207682,205.9537465558,175.9929902201,191.5600145216,95.0089407584,410.3297005760,971.0005518658,0.9519000000,145.8413516045,0.0233005840,0.0156759505,0.0114075199
25,93930,-10.9046444997,-1174.5946779646,1061.0867585921,4860.4952257433,5000.2486525847,5036.4862583689,4472.5125908122,556.3076437186,200.2404995308,168.1936853942,184.9126462128,88.0414117585,406.2169469983,933.2955954237,0.9526000000,139.1979494862,0.0229095213,0.0167833887,0.0107036778
26,93940,-11.4593020011,-1219.2674165063,1113.4825450811,4860.4952257433,5000.2486525847,5024.5466212572,4464.6224807225,560.1859123129,193.8916319886,161.1086892536,178.2553992285,82.1922340258,403.7592461548,900.0076176005,0.9532500000,133.3151210264,0.0225073416,0.0175551332,0.0096942160
27,93952,-11.9549806523,-1258.6931425222,1159.9392725837,4860.4952257433,5000.2486525847,5013.8783439368,4456.9378400212,564.5467385391,187.4781326932,155.0162645048,172.0146687046,75.5767410930,403.3145302576,871.9245326946,0.9538500000,128.4196852436,0.0221431445,0.0161812554,0.0086288980
28,93941,-12.4574197636,-1298.8208550453,1206.1743890206,4860.4952257433,5000.2486525847,5002.4211798272,4448.0413548875,570.1542563839,180.3399235409,149.3245111656,165.5601063928,69.0789010113,397.9352626542,845.2410564413,0.9549000000,123.8391813375,0.0217858659,0.0161349545,0.0087302387
29,94062,-13.0084395089,-1342.8742558048,1256.6051261969,4860.4952257433,5000.2486525847,4989.2532909500,4437.7233789583,577.0730654122,171.8616850603,143.6442975050,158.3826426688,62.2617921588,380.4350491237,817.8494265416,0.9582500000,119.4053657734,0.0214006510,0.0176818727,0.0095770140
30,94642,-13.6646333561,-1396.6269371830,1318.6980434258,4860.4952257433,5000.2486525847,4971.5170702061,4427.0890271306,583.8131603506,160.8252541253,137.1690871277,149.4659172319,54.2013164105,356.5540423617,785.4967476796,0.9620000000,116.6022974984,0.0208892925,0.0238945316,0.0115767901
31,95328,-14.4639369791,-1463.6058996267,1398.0825663891,4860.4952257433,5000.2486525847,4947.2805863559,4417.3353001410,589.3383368438,145.9877199147,128.8692527755,137.6947687401,45.0219783000,316.2690608966,746.7278760207,0.9653000000,110.6698299415,0.0201546188,0.0351698675,0.0143629561
32,95969,-15.2796127630,-1531.4155936838,1482.2874652882,4860.4952257433,5000.2486525847,4921.8025740874,4409.9704886995,593.4533694576,131.2185082625,120.8966601437,126.1631866761,34.2646488544,287.8729090120,708.2671377817,0.9678500000,99.0401278686,0.0194119570,0.0368482186,0.0147840013
33,96451,-15.9750000878,-1587.5470957739,1556.0563967989,4860.4952257433,5000.2486525847,4900.7276185524,4405.2043111510,596.4028954519,120.9414501017,115.5484526163,118.2756933075,23.1503478941,274.0802117655,679.3971548410,0.9690000000,85.2727198719,0.0189063678,0.0260452492,0.0126135926
34,96713,-16.4731318655,-1625.5420305540,1609.6622096936,4860.4952257433,5000.2486525847,4887.2577657217,4402.2938395466,598.5534161472,115.8398005086,113.0323394587,114.4446790930,15.4739351316,268.9960659325,661.8481137380,0.9697000000,74.4294706837,0.0186734904,0.0123174066,0.0089567112
35,96833,-16.8207701702,-1650.3135132893,1647.5570957051,4860.4952257433,5000.2486525847,4879.3104044915,4400.6215880060,599.9221845595,113.4705799718,111.9255715643,112.7007233542,11.0641241859,266.3088606933,651.0982338636,0.9699500000,68.7400424513,0.0185743707,0.0053080413,0.0061820466
36,96887,-17.0725376453,-1667.1448752268,1675.2618256521,4860.4952257433,5000.2486525847,4874.5134015395,4399.6075446161,600.8046686190,112.2513057290,111.3868274110,111.8199019820,8.5504578744,265.1825166106,644.0244998513,0.9703000000,65.9851524826,0.0185276875,0.0025133134,0.0044322093
37,96923,-17.2652361058,-1679.3010988879,1696.7358931211,4860.4952257433,5000.2486525847,4871.4827445119,4399.0651927211,601.2838580756,111.5369631950,111.0728105642,111.3051288248,7.3247110491,263.8920147796,638.8601727235,0.9703000000,64.6761174239,0.0184997585,0.0015074200,0.0033681799
38,96947,-17.4182279268,-1688.4514561279,1713.9931306091,4860.4952257433,5000.2486525847,4869.5248145116,4398.8208420559,601.4955899678,111.0711134365,110.8836236452,110.9774081350,6.4449453133,264.4414379112,634.8519191748,0.9706000000,63.9708723147,0.0184803280,0.0010503070,0.0026591929
39,96969,-17.5455733833,-1695.8382673115,1728.5161149129,4860.4952257433,5000.2486525847,4868.0890917870,4398.7614652321,601.5351222919,110.7411917796,110.7469724813,110.7440821682,5.9788183344,264.5865327257,631.5365629714,0.9707500000,63.6250035089,0.0184645283,0.0008549522,0.0022102536
40,96986,-17.6519884067,-1701.8312388374,1740.7568356706,4860.4952257433,5000.2486525847,4867.0442229085,4398.8064541869,601.4778527738,110.4942026130,110.6501594457,110.5722085255,5.6918397101,263.8289126073,628.7824888356,0.9705500000,63.4157980290,0.0184513626,0.0007130263,0.0018436780
41,96995,-17.7431551001,-1706.7826405356,1751.3315775447,4860.4952257433,5000.2486525847,4866.3138834233,4398.9257105534,601.3510932810,110.3057290376,110.5799545783,110.4429269194,5.5276114293,263.9797817903,626.4215277007,0.9705500000,63.2281337508,0.0184399802,0.0006168868,0.0015752354
42,96997,-17.8233122130,-1711.0236110844,1760.6546811200,4860.4952257433,5000.2486525847,4865.7704780359,4399.0504277312,601.2213684274,110.1572724954,110.5372289786,110.3474142739,5.5194535229,262.7760608766,624.3815711261,0.9705000000,63.0264560368,0.0184309332,0.0004906186,0.0013811013
43,97008,-17.8929286487,-1714.6663602866,1768.7725809318,4860.4952257433,5000.2486525847,4865.3286192018,4399.1753402694,601.0927453147,110.0461908297,110.5161422109,110.2814168509,5.4542611177,261.2237745230,623.5054326933,0.9704000000,63.0047939882,0.0184239927,0.0003765669,0.0011988334
44,97009,-17.9530614210,-1717.7370484295,1775.8103161740,4860.4952257433,5000.2486525847,4865.0149534764,4399.3058255711,600.9598233475,109.9595621975,110.5077999507,110.2340219002,5.4868758260,262.0328941554,623.6655758494,0.9703000000,62.8859358199,0.0184182916,0.0003094378,0.0010333518
45,97001,-18.0059527164,-1720.4109494123,1781.9800571810,4860.4952257433,5000.2486525847,4864.7600675558,4399.3977318571,600.8660564675,109.8958651072,110.5147502952,110.2057421382,5.3802906091,262.0110126879,623.8455963423,0.9702500000,62.6725867597,0.0184146343,0.0001985668,0.0009067067
